GeneName	HumanOrtholog	HumanTitle
acl-2	AGPAT1 	 1-acylglycerol-3-phosphate O-acyltransferase 1
acl-11	AGPAT5 	 1-acylglycerol-3-phosphate O-acyltransferase 5
haao-1	HAAO 	 3-hydroxyanthranilate 3,4-dioxygenase
pdk-1	PDPK1 	 3-phosphoinositide dependent protein kinase-1
pps-1	PAPSS2 	 3'-phosphoadenosine 5'-phosphosulfate synthase 2
gta-1	ABAT 	 4-aminobutyrate aminotransferase
hpd-1	HPD 	 4-hydroxyphenylpyruvate dioxygenase
ser-4	HTR1A 	 5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled
tyra-3	HTR1D 	 5-hydroxytryptamine (serotonin) receptor 1D, G protein-coupled
ser-1	HTR2A 	 5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled
ser-7	HTR7 	 5-hydroxytryptamine (serotonin) receptor 7, adenylate cyclase-coupled
metr-1	MTR 	 5-methyltetrahydrofolate-homocysteine methyltransferase
mtrr-1	MTRR 	 5-methyltetrahydrofolate-homocysteine methyltransferase reductase
xrn-1	XRN1 	 5'-3' exoribonuclease 1
xrn-2	XRN2 	 5'-3' exoribonuclease 2
ptps-1	PTS 	 6-pyruvoyltetrahydropterin synthase
coq-8	ADCK3 	 aarF domain containing kinase 3
aho-3	ABHD17C 	 abhydrolase domain containing 17C
sur-5	AACS 	 acetoacetyl-CoA synthetase
kat-1	ACAT1 	 acetyl-CoA acetyltransferase 1
ace-1	ACHE 	 acetylcholinesterase (Yt blood group)
dod-18	ASMTL 	 acetylserotonin O-methyltransferase-like
pho-5	ACP2 	 acid phosphatase 2, lysosomal
pho-8	ACPP 	 acid phosphatase, prostate
pho-7	ACPP 	 acid phosphatase, prostate
pho-6	ACPP 	 acid phosphatase, prostate
pho-9	ACPP 	 acid phosphatase, prostate
aco-1	ACO1 	 aconitase 1, soluble
aco-2	ACO2 	 aconitase 2, mitochondrial
arx-3	ARPC1A 	 actin related protein 2/3 complex, subunit 1A, 41kDa
arx-4	ARPC2 	 actin related protein 2/3 complex, subunit 2, 34kDa
arx-5	ARPC3 	 actin related protein 2/3 complex, subunit 3, 21kDa
arx-6	ARPC4 	 actin related protein 2/3 complex, subunit 4, 20kDa
arx-7	ARPC5 	 actin related protein 2/3 complex, subunit 5, 16kDa
swsn-6	ACTL6A 	 actin-like 6A
act-1	ACTG1 	 actin, gamma 1
act-2	ACTG1 	 actin, gamma 1
act-3	ACTG1 	 actin, gamma 1
act-4	ACTG1 	 actin, gamma 1
acbp-5	ACBD6 	 acyl-CoA binding domain containing 6
acdh-9	ACAD8 	 acyl-CoA dehydrogenase family, member 8
acdh-8	ACADM 	 acyl-CoA dehydrogenase, C-4 to C-12 straight chain
acdh-7	ACADM 	 acyl-CoA dehydrogenase, C-4 to C-12 straight chain
acdh-1	ACADSB 	 acyl-CoA dehydrogenase, short/branched chain
acdh-3	ACADSB 	 acyl-CoA dehydrogenase, short/branched chain
acdh-12	ACADVL 	 acyl-CoA dehydrogenase, very long chain
acox-1	ACOX1 	 acyl-CoA oxidase 1, palmitoyl
acs-2	ACSF2 	 acyl-CoA synthetase family member 2
acs-1	ACSF2 	 acyl-CoA synthetase family member 2
acs-17	ACSL4 	 acyl-CoA synthetase long-chain family member 4
acs-4	ACSL4 	 acyl-CoA synthetase long-chain family member 4
acs-13	ACSL5 	 acyl-CoA synthetase long-chain family member 5
acs-19	ACSS2 	 acyl-CoA synthetase short-chain family member 2
dpf-5	APEH 	 acylaminoacyl-peptide hydrolase
adm-2	ADAM12 	 ADAM metallopeptidase domain 12
adm-4	ADAM17 	 ADAM metallopeptidase domain 17
gon-1	ADAMTS9 	 ADAM metallopeptidase with thrombospondin type 1 motif, 9
apb-1	AP1B1 	 adaptor-related protein complex 1, beta 1 subunit
apg-1	AP1G1 	 adaptor-related protein complex 1, gamma 1 subunit
unc-101	AP1M1 	 adaptor-related protein complex 1, mu 1 subunit
apm-1	AP1M2 	 adaptor-related protein complex 1, mu 2 subunit
aps-1	AP1S2 	 adaptor-related protein complex 1, sigma 2 subunit
apa-2	AP2A2 	 adaptor-related protein complex 2, alpha 2 subunit
dpy-23	AP2M1 	 adaptor-related protein complex 2, mu 1 subunit
aps-2	AP2S1 	 adaptor-related protein complex 2, sigma 1 subunit
apm-3	AP3M1 	 adaptor-related protein complex 3, mu 1 subunit
aps-3	AP3S2 	 adaptor-related protein complex 3, sigma 2 subunit
add-1	ADD1 	 adducin 1 (alpha)
adr-2	ADARB1 	 adenosine deaminase, RNA-specific, B1
ahcy-1	AHCY 	 adenosylhomocysteinase
smd-1	AMD1 	 adenosylmethionine decarboxylase 1
acy-1	ADCY9 	 adenylate cyclase 9
let-754	AK2 	 adenylate kinase 2
paqr-1	ADIPOR1 	 adiponectin receptor 1
paqr-2	ADIPOR1 	 adiponectin receptor 1
arf-6	ARF6 	 ADP-ribosylation factor 6
arl-1	ARL1 	 ADP-ribosylation factor-like 1
evl-20	ARL2 	 ADP-ribosylation factor-like 2
arl-3	ARL3 	 ADP-ribosylation factor-like 3
arl-5	ARL5C 	 ADP-ribosylation factor-like 5C
arl-6	ARL6 	 ADP-ribosylation factor-like 6
arl-8	ARL8A 	 ADP-ribosylation factor-like 8A
praf-3	ARL6IP5 	 ADP-ribosylation-like factor 6 interacting protein 5
grk-2	ADRBK2 	 adrenergic, beta, receptor kinase 2
dop-4	ADRA1A 	 adrenoceptor alpha 1A
octr-1	ADRA2A 	 adrenoceptor alpha 2A
dop-1	ADRA2B 	 adrenoceptor alpha 2B
spg-7	AFG3L2 	 AFG3-like AAA ATPase 2
agr-1	AGRN 	 agrin
alh-3	ALDH1L1 	 aldehyde dehydrogenase 1 family, member L1
alh-13	ALDH18A1 	 aldehyde dehydrogenase 18 family, member A1
alh-1	ALDH2 	 aldehyde dehydrogenase 2 family (mitochondrial)
alh-2	ALDH2 	 aldehyde dehydrogenase 2 family (mitochondrial)
alh-4	ALDH3A2 	 aldehyde dehydrogenase 3 family, member A2
alh-5	ALDH3A2 	 aldehyde dehydrogenase 3 family, member A2
alh-6	ALDH4A1 	 aldehyde dehydrogenase 4 family, member A1
alh-7	ALDH5A1 	 aldehyde dehydrogenase 5 family, member A1
alh-8	ALDH6A1 	 aldehyde dehydrogenase 6 family, member A1
alh-9	ALDH7A1 	 aldehyde dehydrogenase 7 family, member A1
alh-10	ALDH8A1 	 aldehyde dehydrogenase 8 family, member A1
alh-11	ALDH9A1 	 aldehyde dehydrogenase 9 family, member A1
alh-12	ALDH9A1 	 aldehyde dehydrogenase 9 family, member A1
aldo-2	ALDOA 	 aldolase A, fructose-bisphosphate
aldo-1	ALDOC 	 aldolase C, fructose-bisphosphate
tag-179	ALG10B 	 ALG10B, alpha-1,2-glucosyltransferase
alkb-8	ALKBH8 	 alkB, alkylation repair homolog 8 (E. coli)
agmo-1	AGMO 	 alkylglycerol monooxygenase
ads-1	AGPS 	 alkylglycerone phosphate synthase
pam-1	NPEPPS 	 aminopeptidase puromycin sensitive
lap-1	NPEPL1 	 aminopeptidase-like 1
amph-1	AMPH 	 amphiphysin
agl-1	AGL 	 amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase
apl-1	APP 	 amyloid beta (A4) precursor protein
acn-1	ACE2 	 angiotensin I converting enzyme 2
daf-25	ANKMY2 	 ankyrin repeat and MYND domain containing 2
vms-1	ANKZF1 	 ankyrin repeat and zinc finger domain containing 1
nex-1	ANXA13 	 annexin A13
nex-2	ANXA7 	 annexin A7
anoh-2	ANO8 	 anoctamin 8
unc-85	ASF1A 	 anti-silencing function 1A histone chaperone
asfl-1	ASF1A 	 anti-silencing function 1A histone chaperone
aph-1	APH1A 	 APH1A gamma secretase subunit
wah-1	AIFM1 	 apoptosis-inducing factor, mitochondrion-associated, 1
aqp-1	AQP10 	 aquaporin 10
aqp-2	AQP10 	 aquaporin 10
aqp-3	AQP10 	 aquaporin 10
aqp-7	AQP10 	 aquaporin 10
aqp-4	AQP8 	 aquaporin 8
aqp-5	AQP8 	 aquaporin 8
aqp-6	AQP8 	 aquaporin 8
emb-4	AQR 	 aquarius intron-binding spliceosomal factor
cnt-1	ACAP2 	 ArfGAP with coiled-coil, ankyrin repeat and PH domains 2
cnt-2	AGAP1 	 ArfGAP with GTPase domain, ankyrin repeat and PH domain 1
rars-1	RARS 	 arginyl-tRNA synthetase
alg-1	AGO2 	 argonaute RISC catalytic component 2
alg-2	AGO2 	 argonaute RISC catalytic component 2
arp-1	ACTR1A 	 ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)
arx-2	ACTR2 	 ARP2 actin-related protein 2 homolog (yeast)
arx-1	ACTR3 	 ARP3 actin-related protein 3 homolog (yeast)
arp-6	ACTR6 	 ARP6 actin-related protein 6 homolog (yeast)
arrd-17	ARRDC2 	 arrestin domain containing 2
arr-1	ARRB1 	 arrestin, beta 1
asna-1	ASNA1 	 arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)
sul-2	ARSF 	 arylsulfatase F
ash-2	ASH2L 	 ash2 (absent, small, or homeotic)-like (Drosophila)
asns-1	ASNS 	 asparagine synthetase (glutamine-hydrolyzing)
nars-1	NARS 	 asparaginyl-tRNA synthetase
dnpp-1	DNPEP 	 aspartyl aminopeptidase
dars-1	DARS 	 aspartyl-tRNA synthetase
dars-2	DARS2 	 aspartyl-tRNA synthetase 2, mitochondrial
atx-3	ATXN3 	 ataxin 3
acly-2	ACLY 	 ATP citrate lyase
atp-2	ATP5B 	 ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide
atp-3	ATP5O 	 ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit
abt-2	ABCA1 	 ATP-binding cassette, sub-family A (ABC1), member 1
hmt-1	ABCB6 	 ATP-binding cassette, sub-family B (MDR/TAP), member 6
abtm-1	ABCB7 	 ATP-binding cassette, sub-family B (MDR/TAP), member 7
haf-6	ABCB8 	 ATP-binding cassette, sub-family B (MDR/TAP), member 8
haf-2	ABCB9 	 ATP-binding cassette, sub-family B (MDR/TAP), member 9
haf-4	ABCB9 	 ATP-binding cassette, sub-family B (MDR/TAP), member 9
haf-7	ABCB9 	 ATP-binding cassette, sub-family B (MDR/TAP), member 9
haf-8	ABCB9 	 ATP-binding cassette, sub-family B (MDR/TAP), member 9
haf-9	ABCB9 	 ATP-binding cassette, sub-family B (MDR/TAP), member 9
mrp-1	ABCC1 	 ATP-binding cassette, sub-family C (CFTR/MRP), member 1
mrp-2	ABCC1 	 ATP-binding cassette, sub-family C (CFTR/MRP), member 1
mrp-3	ABCC3 	 ATP-binding cassette, sub-family C (CFTR/MRP), member 3
mrp-4	ABCC3 	 ATP-binding cassette, sub-family C (CFTR/MRP), member 3
mrp-7	ABCC3 	 ATP-binding cassette, sub-family C (CFTR/MRP), member 3
mrp-6	ABCC4 	 ATP-binding cassette, sub-family C (CFTR/MRP), member 4
mrp-5	ABCC5 	 ATP-binding cassette, sub-family C (CFTR/MRP), member 5
pmp-1	ABCD3 	 ATP-binding cassette, sub-family D (ALD), member 3
pmp-2	ABCD3 	 ATP-binding cassette, sub-family D (ALD), member 3
pmp-3	ABCD4 	 ATP-binding cassette, sub-family D (ALD), member 4
abce-1	ABCE1 	 ATP-binding cassette, sub-family E (OABP), member 1
abcf-1	ABCF1 	 ATP-binding cassette, sub-family F (GCN20), member 1
abcf-2	ABCF2 	 ATP-binding cassette, sub-family F (GCN20), member 2
wht-5	ABCG1 	 ATP-binding cassette, sub-family G (WHITE), member 1
wht-1	ABCG2 	 ATP-binding cassette, sub-family G (WHITE), member 2
wht-4	ABCG2 	 ATP-binding cassette, sub-family G (WHITE), member 2
wht-7	ABCG2 	 ATP-binding cassette, sub-family G (WHITE), member 2
atad-3	ATAD3A 	 ATPase family, AAA domain containing 3A
catp-6	ATP13A3 	 ATPase type 13A3
catp-5	ATP13A3 	 ATPase type 13A3
catp-7	ATP13A3 	 ATPase type 13A3
